agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
0704000 28849.496141900087 28205.32894135317 28077.12137025101 28567.56062914829 28485.74829158744 28527.896574718674
0804000 28499.75511434364 28009.340462830634 28072.083142190564 28426.98866261015 28314.605092055062 28195.391952634778
0803000 28095.30037745749 27919.649289519697 27687.54935919348 28256.700321318913 28020.747207657354 27987.64374214111
0904000 28249.269458689887 27570.64215831671 27841.251253747516 28050.159643805175 27963.6121215979 27985.51450329739
1004000 27723.5237099975 27426.90531199403 27618.469760096803 27822.10575415619 27625.14744716121 27604.999932850664
1005000 28125.089076895012 27461.938872764193 27583.869076017447 27909.95913551609 27813.5844439442 27873.798138128255
1105000 27870.403924341863 27626.207483663722 27396.998247937143 27640.303154767644 27510.733699049335 27462.80547481489
0905000 28302.21550593805 27722.241097110564 27939.607052957403 28092.086761445415 28079.77226101842 28128.291078188708
0805000 28701.843111649814 28122.34210750927 28124.41919060659 28088.893199803984 28316.53748584126 28408.72796937404
0705000 28876.76381347951 28214.090490485236 28411.8009701565 28335.636017489996 28561.964596067224 28398.705440222515
0806000 28345.5116294442 28192.118038028002 28405.078335499013 27916.899328818028 27989.62762150374 27993.56626258626
0807000 28201.705498148847 27924.799656372576 28135.826235983295 27698.02555901906 27857.467629257193 27886.456298800924
0808000 27933.690251896947 27767.868193661598 27996.31864047999 27507.24712695266 27674.956433982286 27791.37412078683
0708000 27992.18794110084 27794.68809234335 28183.26844105322 27724.248702698744 27919.222269982845 27945.383595016665
0709000 27766.274308063188 27423.986637363432 27989.481586384005 27461.984843807873 27702.65027100456 27672.34442651902
0809000 27694.531766043954 27105.81712678807 27819.60139114395 27149.47502662596 27453.811592452374 27429.720296979613
0810000 27424.79220793929 26917.060380234718 27568.892997506802 27177.79619558397 27172.218621712338 27221.784361572267
0910000 27269.40765641973 26652.988984348434 27271.426217276912 26999.73066960757 26905.041703578394 26903.58686294433
1010000 26903.686513087378 26371.492105834757 27053.236692484355 26772.672534103047 26681.154614825577 26713.65907317483
1110000 26729.598115345194 26395.31081578904 26609.203232052663 26444.46940813012 26476.863434905823 26493.928440564203
0909000 27480.50457758982 26847.75571254504 27300.816381412937 27022.907697341132 27173.4063747845 27252.330469025634
1009000 27182.826158128417 26645.310917441722 26736.88800343645 26750.334576888345 26784.23603017862 26901.348115464076
1109000 26845.49187272587 26654.9795618639 26480.1078062707 26335.535276706807 26648.55057910351 26501.10846540626
1008000 26608.968520366714 26516.899509266972 26428.716204849567 26923.580729235047 26750.264208576584 26658.41340146849
